单词,频率,是否在词库
constantly,2,NO
content,2,YES
noticed,2,NO
hormones,2,NO
figuring,2,NO
schedule,2,YES
backfire,2,NO
institute,2,YES
wasteland,2,NO
leisure,2,YES
danaher,2,NO
ensuring,2,NO
uncertainty,2,NO
prediction,2,YES
substitute,2,YES
confused,2,NO
runners,2,NO
official,2,YES
grassroots,2,NO
associations,2,NO
encouraging,2,NO
testing,2,NO
nonverbal,2,NO
tension,2,YES
feedback,2,NO
oppressive,2,NO
reduces,2,NO
interaction,2,NO
widespread,2,YES
conjunction,2,NO
acclimation,2,NO
inherent,2,NO
initially,2,NO
prevent,2,NO
worthless,2,YES
freshmen,2,NO
application,2,YES
failures,2,NO
ecology,2,NO
wildfire,2,NO
expenditure,2,NO
magnifying,2,NO
conversations,2,NO
element,2,YES
expense,2,NO
simplified,2,NO
mechanism,2,YES
stenquist,2,NO
engineering,2,YES
switched,2,NO
somewhere,2,YES
unpleasant,2,NO
clicked,2,NO
electrified,2,NO
encouraged,2,NO
regardless,2,YES
deceptive,2,NO
conceal,2,YES
justify,2,YES
pioneering,2,NO
geometry,2,NO
prejudice,2,YES
vocational,2,NO
principle,2,YES
headlong,2,NO
frustrated,2,NO
obvious,2,NO
diversity,2,NO
picking,2,NO
plummeting,2,NO
electricity,2,YES
notably,2,NO
unreliable,2,NO
storage,2,YES
battery,2,NO
progressing,2,NO
impractical,2,NO
friendships,2,NO
presently,2,YES
disadvantage,2,YES
recommends,2,NO
mastering,2,NO
dedicated,2,NO
moments,2,NO
downtime,2,NO
indispensable,2,YES
operate,2,NO
unfocused,2,NO
compliment,2,YES
memorable,2,NO
fiction,2,NO
nonfiction,2,NO
wonderful,2,YES
physically,2,NO
bimonthly,2,NO
definition,2,YES
revival,2,NO
rethinking,2,NO
psychology,2,YES
transgressions,2,NO
regulate,2,YES
growers,2,NO
agriculture,2,NO
farming,2,YES
celebrities,2,NO
envirornnent,2,NO
achieved,2,NO
licensing,2,NO
collective,2,YES
mcclain,2,NO
backyard,2,NO
herriot,2,NO
composed,2,NO
consistently,2,NO
modeling,2,NO
accordingly,2,YES
extends,2,NO
robotic,2,NO
genuine,2,YES
predecessors,2,NO
globalized,2,NO
tighter,2,NO
enforcement,2,NO
pollution,2,YES
emission,2,YES
motorists,2,NO
residents,2,NO
councilors,2,NO
streets,2,NO
assuage,2,NO
michelsen,2,NO
dealing,2,NO
detected,1,NO
worldwide,1,YES
heightened,1,NO
emergency,1,YES
assembled,1,NO
severity,1,NO
margaret,1,NO
symptoms,1,NO
treatment,1,YES
mexican,1,NO
unusually,1,NO
southwestem,1,NO
seasonal,1,NO
tamiflu,1,NO
stockpile,1,YES
flumist,1,NO
pregnant,1,YES
breathing,1,NO
vaccinate,1,NO
designated,1,NO
proceeded,1,NO
activated,1,NO
prompted,1,NO
magnificent,1,YES
samples,1,NO
imparted,1,NO
immersed,1,NO
injected,1,NO
infected,1,NO
relayed,1,NO
remained,1,NO
feasible,1,YES
applicable,1,YES
presented,1,NO
restricted,1,NO
recommended,1,NO
agonies,1,NO
sufferings,1,NO
warding,1,NO
longest,1,NO
dramatic,1,YES
fetching,1,NO
brothers,1,NO
bankruptcy,1,YES
bewilderingly,1,NO
mcandrew,1,NO
founder,1,NO
economics,1,YES
generates,1,NO
controversy,1,YES
matched,1,NO
salerooms,1,NO
overheated,1,NO
guarantees,1,NO
clients,1,NO
fluctuant,1,NO
witnessed,1,NO
succession,1,YES
victories,1,NO
masterpieces,1,NO
successfully,1,NO
dramatically,1,NO
surpassed,1,NO
downward,1,NO
dealers,1,NO
awaiting,1,NO
favorites,1,NO
circulation,1,YES
representing,1,NO
fluctuation,1,YES
addressing,1,NO
gathering,1,YES
suburban,1,NO
anecdotes,1,NO
silently,1,NO
gestured,1,NO
laughter,1,YES
puzzled,1,NO
silence,1,YES
episode,1,NO
crystallizes,1,NO
sociologist,1,NO
catherine,1,NO
riessman,1,NO
tangible,1,NO
inequities,1,NO
accompany,1,YES
cooking,1,NO
foremost,1,NO
sitting,1,NO
trusting,1,NO
supporting,1,NO
generating,1,NO
exerting,1,NO
causing,1,NO
decaying,1,NO
deserves,1,NO
sociologists,1,NO
description,1,NO
introduction,1,NO
compames,1,NO
billions,1,NO
counters,1,NO
carefully,1,NO
killers,1,NO
tropical,1,NO
palmolive,1,NO
routines,1,NO
disinfecting,1,NO
fresheners,1,NO
purifiers,1,NO
whiteners,1,NO
softeners,1,NO
vitamins,1,NO
manufactured,1,NO
brushed,1,NO
campaigns,1,NO
habitually,1,NO
preventing,1,NO
beverage,1,NO
bottling,1,NO
springs,1,NO
unthinkingly,1,NO
primarily,1,YES
adolescent,1,YES
featured,1,NO
commercials,1,NO
freshener,1,NO
cleanser,1,NO
rituals,1,NO
slipped,1,NO
retired,1,NO
commercially,1,NO
habitual,1,NO
ruthless,1,YES
controversies,1,NO
erupted,1,NO
cultivated,1,NO
gradually,1,NO
indicate,1,YES
manifest,1,YES
commercial,1,YES
promotions,1,NO
advertisement,1,YES
concrete,1,YES
express10n,1,NO
literacy,1,YES
competent,1,YES
randomly,1,NO
citizen,1,YES
religion,1,YES
verdicts,1,NO
conscience,1,YES
surviving,1,NO
governing,1,NO
electing,1,NO
supposedly,1,NO
superior,1,NO
prohibited,1,NO
intentional,1,NO
strauder,1,NO
convenient,1,YES
antidiscrimination,1,NO
eligible,1,NO
exempted,1,NO
unrepresentative,1,NO
ushering,1,NO
reforms,1,NO
landmark,1,NO
louisiana,1,NO
literate,1,NO
illiterate,1,YES
inadequacy,1,NO
conflicting,1,NO
arrogance,1,NO
conform,1,YES
reforming,1,NO
discussing,1,NO
copying,1,NO
trumpeted,1,NO
respectively,1,NO
designs,1,NO
lightweight,1,NO
composites,1,NO
naturalistic,1,NO
cutting,1,NO
upwards,1,NO
wingtips,1,NO
aeronautics,1,NO
formerly,1,NO
caltech,1,NO
substantially,1,NO
modeled,1,NO
inverted,1,NO
favourable,1,NO
proceed,1,YES
coupled,1,NO
nitrogen,1,NO
cruising,1,NO
portions,1,NO
travelling,1,NO
companion,1,YES
nautical,1,NO
intimate,1,YES
groupings,1,NO
favoured,1,NO
peering,1,NO
separation,1,NO
distances,1,NO
aviation,1,YES
blueprint,1,YES
operational,1,NO
guidelines,1,NO
turbulence,1,NO
diminish,1,YES
ordinate,1,NO
destinations,1,NO
reschedule,1,NO
flights,1,NO
unsubstantiated,1,NO
skipper,1,NO
lancaster,1,NO
documented,1,NO
endured,1,NO
unsustainability,1,NO
expressed,1,NO
recalls,1,NO
boulder,1,NO
dilemma,1,YES
predictably,1,NO
miserable,1,YES
anxiety,1,YES
colleague,1,YES
reception,1,YES
subscriptions,1,NO
subscription,1,NO
countri,1,NO
affords,1,NO
explosion,1,YES
preserved,1,NO
fingerprint,1,NO
credential,1,NO
authenticate,1,NO
federation,1,YES
authenticated,1,NO
cyberspace,1,NO
neighborhoods,1,NO
streetlights,1,NO
orgamzat10ns,1,NO
transaction,1,YES
transact10ns,1,NO
trustmg,1,NO
adm1mstratlon,1,NO
activists,1,NO
applaud,1,YES
compulsory,1,YES
mentality,1,NO
greeted,1,NO
envisioned,1,NO
register,1,YES
licensed,1,NO
skipped,1,NO
careless,1,NO
lawless,1,NO
pointless,1,NO
helpless,1,YES
reminder,1,NO
compromise,1,YES
entertamment,1,NO
chained,1,NO
dismiss,1,YES
distributed,1,NO
delivered,1,NO
modernized,1,NO
caution,1,YES
delight,1,NO
protected,1,NO
incidentally,1,NO
defendable,1,NO
invisible,1,YES
january,1,NO
attracting,1,NO
payouts,1,NO
unremarked,1,NO
february,1,NO
helpful,1,YES
presumably,1,YES
proposals,1,NO
weathered,1,NO
checked,1,NO
disappearances,1,NO
probability,1,YES
subsequently,1,NO
restate,1,NO
likelihood,1,YES
lawsuit,1,NO
suggestive,1,NO
jumping,1,NO
sinking,1,NO
riskier,1,NO
avoiding,1,NO
wrongdoing,1,NO
occurred,1,NO
fulfill,1,YES
refusing,1,NO
compromises,1,NO
investors,1,NO
unbiased,1,NO
forecasters,1,NO
lawsuits,1,NO
perm1ss1ve,1,NO
chronicle,1,NO
chroniclin,1,NO
subsidize,1,NO
brazilian,1,NO
shrugged,1,NO
survived,1,NO
margins,1,NO
overboard,1,NO
editors,1,NO
newsroom,1,NO
reliance,1,YES
whirlwind,1,NO
distinctive,1,NO
reviewers,1,NO
reporters,1,NO
savagely,1,NO
refused,1,NO
subscribers,1,NO
complained,1,NO
counterparts,1,NO
revenue,1,YES
dependent,1,NO
readership,1,NO
distinctiveness,1,NO
reviews,1,NO
survival,1,YES
thrivingbusiness,1,NO
hopeless,1,NO
combination,1,YES
condition,1,NO
stimulus,1,NO
popularized,1,NO
architect,1,YES
emigrated,1,NO
designers,1,NO
signature,1,YES
decoration,1,NO
organized,1,NO
laminated,1,NO
symbolized,1,NO
sophisticated,1,YES
bedroom,1,NO
neighbors,1,NO
afforded,1,NO
spreading,1,NO
commissioned,1,NO
talented,1,NO
magazine,1,NO
homegrown,1,NO
aesthetic,1,NO
forthright,1,NO
detailing,1,NO
mispredicted,1,NO
helicopters,1,NO
sufficiency,1,NO
reflected,1,NO
practicality,1,NO
founded,1,NO
designing,1,NO
identified,1,NO
emptiness,1,NO
abundant,1,YES
decorat10n,1,NO
spacious,1,YES
neighboring,1,NO
sacrificed,1,NO
sounded,1,NO
cheerleaders,1,NO
continent,1,NO
bermuda,1,NO
triangle,1,NO
chronic,1,YES
discipline,1,YES
uncompetitive,1,NO
harmonise,1,NO
competitiveness,1,NO
sanctions,1,NO
suspension,1,NO
ministerial,1,NO
insists,1,NO
liberalism,1,NO
intervening,1,NO
redistribution,1,NO
cheaper,1,NO
transfers,1,NO
murmured,1,NO
curbing,1,NO
largest,1,NO
remarkably,1,NO
liberal,1,YES
borders,1,NO
comparable,1,YES
sharpest,1,NO
globalisation,1,NO
capitalism,1,NO
supporters,1,NO
abandon,1,YES
regarding,1,YES
pessimistic,1,YES
conceited,1,NO
hopeful,1,NO
demanding,1,NO
cigarette,1,NO
insisted,1,NO
spiraling,1,NO
diabetes,1,NO
paediatrics,1,NO
damaging,1,NO
somking,1,NO
inconceivable,1,NO
courageous,1,NO
campaigners,1,NO
central,1,NO
celebrity,1,NO
profile,1,NO
advertisements,1,NO
limiting,1,NO
billboards,1,NO
cinemas,1,NO
calorie,1,NO
cigarettes,1,NO
sponsors,1,NO
coaching,1,NO
inducements,1,NO
psychiatrists,1,NO
takeaways,1,NO
includes,1,NO
regulation,1,YES
publish,1,YES
radical,1,YES
deployed,1,NO
neighborhood,1,YES
traduced,1,NO
significantly,1,NO
globall,1,NO
produces,1,NO
ousegases,1,NO
conditioned,1,NO
monitor,1,YES
admitted,1,NO
suggestions,1,NO
foreigners,1,NO
mindless,1,NO
adventurism,1,NO
foxholes,1,NO
fiercest,1,NO
abbreviation,1,NO
palooka,1,NO
correspondent,1,YES
portrayed,1,NO
covering,1,NO
captured,1,NO
cartoons,1,NO
stripes,1,NO
maulden,1,NO
civilization,1,YES
civilians,1,NO
tobacco,1,YES
whiskey,1,NO
exhaustion,1,NO
perforn,1,NO
rebelled,1,NO
betrayed,1,NO
commodities,1,NO
properties,1,NO
implying,1,NO
symbolizing,1,NO
disguised,1,NO
disturbed,1,NO
disputed,1,NO
distinguished,1,NO
questioned,1,NO
commuted,1,NO
patrolled,1,NO
ethical,1,NO
paralleled,1,NO
counteracted,1,NO
duplicated,1,NO
contradicted,1,NO
avoided,1,NO
admired,1,NO
fragments,1,NO
terribly,1,NO
scorned,1,NO
revising,1,NO
produced,1,NO
inflexible,1,NO
mandates,1,NO
difficulty,1,YES
chaotic,1,NO
contradictory,1,NO
assigned,1,NO
essentially,1,NO
riskily,1,NO
implication,1,NO
lowered,1,NO
administrators,1,NO
counting,1,NO
empowering,1,NO
imposes,1,NO
addresses,1,NO
unimportant,1,NO
assignments,1,NO
portion,1,YES
receive,1,YES
subject,1,YES
assigning,1,NO
hearings,1,NO
receiving,1,NO
standard,1,NO
finishing,1,NO
undermine,1,YES
eliminated,1,NO
welcomed,1,NO
interpretations,1,NO
obsessed,1,NO
pervasive,1,NO
intrinsically,1,NO
celebrate,1,YES
repeatedly,1,YES
appearance,1,YES
presents,1,NO
despaired,1,NO
singular,1,NO
unavoidable,1,NO
somehow,1,YES
paoletti,1,NO
dresses,1,NO
nursery,1,YES
masculine,1,NO
intimations,1,NO
constancy,1,NO
symbolised,1,NO
femininity,1,NO
amplifying,1,NO
realised,1,NO
profoundly,1,NO
dictated,1,NO
beliefs,1,NO
consumerism,1,YES
popularised,1,NO
publications,1,NO
counselled,1,NO
stepping,1,NO
broadly,1,NO
splitting,1,NO
easiest,1,NO
segment,1,YES
magnify,1,YES
ofimagination,1,NO
representation,1,NO
regarded,1,NO
symbolising,1,NO
researches,1,NO
classify,1,YES
businessmen,1,NO
unpatentable,1,NO
violently,1,NO
agitated,1,NO
biotechnology,1,NO
assured,1,NO
preliminary,1,YES
overturned,1,NO
genetics,1,NO
personalised,1,NO
critics,1,NO
monopolies,1,NO
arguing,1,NO
molecule,1,NO
sequencing,1,NO
violates,1,NO
molecules,1,NO
efficacy,1,NO
connecting,1,NO
convention,1,YES
sessions,1,NO
shifting,1,NO
establishing,1,NO
identifying,1,NO
authoritative,1,NO
conventions,1,NO
joblessness,1,NO
ultimately,1,NO
disaster,1,NO
improved,1,NO
prudent,1,YES
reckless,1,NO
periods,1,NO
stagnation,1,NO
spirited,1,NO
reversed,1,NO
typically,1,NO
reinforce,1,YES
divides,1,NO
decrease,1,NO
economist,1,NO
columbia,1,NO
graduated,1,NO
resentment,1,NO
discerning,1,NO
affecting,1,NO
variety,1,YES
prudence,1,NO
reconsider,1,NO
recessions,1,NO
conflicts,1,NO
recover,1,YES
trivial,1,YES
accomplished,1,NO
forefathers,1,NO
empathy,1,NO
inspiration,1,YES
earliest,1,NO
renaissance,1,NO
recounting,1,NO
exemplary,1,NO
rambling,1,NO
illustribus,1,NO
highlighting,1,NO
celebrated,1,NO
conquering,1,NO
biographical,1,NO
championed,1,NO
cunning,1,YES
ruthlessness,1,NO
boldness,1,NO
uniqueness,1,NO
attributes,1,NO
romantics,1,NO
commemorated,1,NO
painters,1,NO
stressing,1,NO
catalogue,1,NO
furnish,1,NO
resolute,1,YES
steadfast,1,NO
integrity,1,YES
issuing,1,NO
exhibit,1,NO
arkwright,1,NO
wedgwood,1,NO
beacons,1,NO
bourgeois,1,NO
cromwell,1,NO
napoleon,1,NO
bonaparte,1,NO
represented,1,NO
acknowledged,1,NO
possessing,1,NO
mortals,1,NO
bombast,1,NO
hitherto,1,NO
communist,1,NO
manifesto,1,NO
possessed,1,NO
immense,1,YES
realities,1,NO
contexts,1,NO
transmitted,1,NO
revolutionised,1,NO
appreciation,1,NO
nurtured,1,NO
thompson,1,NO
hobsbawm,1,NO
scholars,1,NO
unpicked,1,NO
multiplicity,1,NO
societies,1,NO
transformed,1,NO
downstairs,1,YES
fascinating,1,NO
upstairs,1,YES
highlighted,1,NO
depicted,1,NO
migration,1,NO
brightest,1,NO
silicon,1,NO
privilege,1,YES
emigrate,1,YES
households,1,NO
emigrants,1,NO
indians,1,NO
bothered,1,NO
policymakers,1,NO
depriving,1,NO
dictionary,1,NO
electronically,1,NO
predictions,1,NO
fruition,1,NO
revolutionize,1,NO
movement,1,YES
disappearance,1,NO
telecommunications,1,NO
networks,1,NO
receipts,1,NO
unwilling,1,YES
meantime,1,YES
unauthorized,1,NO
occurrence,1,YES
marketers,1,NO
thereby,1,YES
violating,1,NO
borrowed,1,NO
withdrawn,1,NO
analyzed,1,NO
uncommon,1,NO
prevention,1,NO
manipulation,1,NO
justification,1,NO
stubbornly,1,NO
incomes,1,NO
robotics,1,NO
contribution,1,YES
disappeared,1,NO
ensures,1,NO
alleviation,1,NO
shrinkage,1,NO
quotation,1,NO
disappearing,1,NO
settlers,1,NO
sojourners,1,NO
intention,1,YES
departed,1,NO
italian,1,NO
affectionate,1,NO
nickname,1,NO
uccelli,1,NO
passaggio,1,NO
framework,1,NO
mightily,1,NO
paralysis,1,NO
definitions,1,NO
pickers,1,NO
violinists,1,NO
entrepreneurs,1,NO
physicists,1,NO
straddle,1,NO
jurisdictions,1,NO
committing,1,NO
staying,1,NO
nations,1,NO
honorably,1,NO
accommodating,1,NO
outcomes,1,NO
immigrate,1,NO
overseas,1,NO
loosened,1,NO
adapted,1,NO
treated,1,NO
faithful,1,YES
overreactions,1,NO
defense,1,YES
mechanisms,1,NO
accurately,1,NO
preferably,1,NO
complex,1,NO
personality,1,YES
neuroticism,1,NO
mindedness,1,NO
unconsciously,1,NO
impatience,1,NO
flashes,1,NO
overreact,1,NO
options,1,NO
smiling,1,NO
applicants,1,NO
reliably,1,NO
invites,1,NO
retreat,1,YES
evaluation,1,NO
pausing,1,NO
differentiates,1,NO
intermittently,1,NO
contemplating,1,NO
temptation,1,YES
predetermine,1,NO
accuracy,1,YES
complexity,1,NO
react10n,1,NO
associative,1,NO
unconscious,1,YES
impression,1,YES
gattman,1,NO
adequate,1,YES
sensible,1,YES
reversing,1,NO
doubtful,1,NO
mandate,1,NO
viviane,1,NO
membership,1,NO
binding,1,NO
provisions,1,NO
reluctance,1,NO
counter,1,YES
meritocracy,1,NO
obstacles,1,NO
evading,1,NO
caregivers,1,NO
newsworthy,1,NO
anticipate,1,YES
objectiveness,1,NO
approval,1,YES
headlines,1,NO
subtitle,1,NO
peasant,1,YES
shopkeepers,1,NO
chronicles,1,NO
communications,1,NO
restaurants,1,NO
validation,1,NO
fielding,1,NO
blogging,1,NO
cheaply,1,NO
economical,1,YES
foodies,1,NO
ingredients,1,NO
template,1,NO
laughing,1,NO
embarrassment,1,NO
greengrocer,1,NO
rashers,1,NO
chiller,1,NO
proudly,1,NO
freezer,1,NO
leftovers,1,NO
wastage,1,NO
surplus,1,YES
vegetables,1,NO
vegetable,1,YES
butchers,1,NO
sellers,1,NO
knuckles,1,NO
carcasses,1,NO
pennies,1,NO
restaurant,1,YES
michelin,1,NO
starred,1,NO
arbutus,1,NO
instantly,1,NO
absorbs,1,NO
grandfather,1,NO
broadway,1,NO
classmates,1,NO
thinner,1,NO
diseases,1,NO
calcium,1,NO
elderly,1,YES
moderately,1,NO
numencal,1,NO
collegiate,1,NO
players,1,NO
disgrace,1,YES
laziness,1,NO
professionals,1,NO
teasing,1,NO
stimulated,1,NO
instituted,1,NO
initiatives,1,NO
michelle,1,NO
visibility,1,NO
doubted,1,NO
ensured,1,NO
protective,1,NO
troublesome,1,YES
likewise,1,YES
indicator,1,NO
relevance,1,NO
assistance,1,YES
modifies,1,NO
essence,1,YES
variable,1,YES
qualify,1,YES
changeable,1,NO
pictured,1,NO
imitated,1,NO
monitored,1,NO
combined,1,NO
despised,1,NO
corrected,1,NO
grounded,1,NO
mackenzie,1,NO
florida,1,NO
undivided,1,NO
jackpot,1,NO
michael,1,NO
extravagant,1,NO
stories,1,NO
shorten,1,YES
television,1,YES
whopping,1,NO
jollier,1,NO
pleasurable,1,NO
oneself,1,YES
sparingly,1,NO
restricts,1,NO
sandwich,1,YES
obsession,1,NO
privileged,1,NO
wealthier,1,NO
scarcity,1,NO
mandating,1,NO
holiday,1,NO
homebuyers,1,NO
believing,1,NO
1rrat10nal,1,NO
worthwhile,1,YES
lotteries,1,NO
reasonable,1,YES
empirical,1,NO
naturally,1,NO
amassed,1,NO
statistical,1,YES
impossibilities,1,NO
affirming,1,NO
defensive,1,NO
behavioural,1,NO
oversaw,1,NO
enhancement,1,NO
versions,1,NO
occurring,1,NO
intuitively,1,NO
deliberation,1,NO
falsely,1,NO
genuinely,1,NO
doctored,1,NO
insecurities,1,NO
corresponded,1,NO
markers,1,NO
delusion,1,NO
recognise,1,NO
intellect,1,NO
catalina,1,NO
madison,1,NO
portray,1,YES
idealised,1,NO
ratings,1,NO
unrealistically,1,NO
baseless,1,NO
matching,1,NO
intuitive,1,NO
msecuntles,1,NO
depressions,1,NO
oversimplify,1,NO
aggressively,1,NO
withhold,1,NO
unflattering,1,NO
industrial,1,YES
acutely,1,NO
fragile,1,YES
recoveries,1,NO
outmoded,1,NO
insatiable,1,NO
restructure,1,NO
foresee,1,NO
improvement,1,NO
tightly,1,NO
reinvent,1,NO
relying,1,NO
predictable,1,NO
touched,1,NO
reframe,1,NO
augment,1,NO
institutions,1,NO
highlight,1,YES
provoke,1,YES
outmode,1,NO
diminishing,1,NO
discussed,1,NO
predictability,1,NO
efficiently,1,NO
conomic,1,NO
stimulate,1,YES
innovat10ns,1,NO
contributing,1,NO
railways,1,NO
broadband,1,NO
shoulder,1,YES
unicating,1,NO
multibillion,1,NO
charged,1,NO
comprehensive,1,YES
rectify,1,YES
prejudices,1,NO
indications,1,NO
minister,1,NO
chancellor,1,NO
exchequer,1,NO
increasing,1,NO
returns,1,NO
shoulders,1,NO
suffered,1,NO
mferred,1,NO
implement,1,YES
emerging,1,NO
seventies,1,NO
installation,1,YES
confines,1,NO
portraying,1,NO
substance,1,YES
counterpart,1,YES
typified,1,NO
domestically,1,NO
quirkier,1,NO
consist,1,YES
embodiment,1,NO
obscure,1,YES
objects,1,NO
purplish,1,NO
portishead,1,NO
rarefied,1,NO
comprising,1,NO
recreated,1,NO
sections,1,NO
commonplaceness,1,NO
characterises,1,NO
hilliard,1,NO
stroller,1,NO
variously,1,NO
unwittingly,1,NO
assaulted,1,NO
sequence,1,YES
gravitating,1,NO
permeated,1,NO
escapism,1,NO
wordsworth,1,NO
walking,1,NO
consists,1,NO
mileage,1,NO
modestly,1,NO
imposing,1,NO
origins,1,NO
paintings,1,NO
constable,1,NO
originates,1,NO
depicts,1,NO
ordinary,1,YES
embodies,1,NO
endlessly,1,NO
perpetually,1,NO
cheerfulness,1,NO
recommend,1,YES
optimists,1,NO
exercises,1,NO
reconstruction,1,NO
analyzes,1,NO
apartment,1,NO
unbearable,1,YES
standing,1,NO
protection,1,YES
rejection,1,NO
disruptive,1,NO
acquaintances,1,NO
uneasiness,1,NO
blanket,1,NO
glasses,1,NO
smartphones,1,NO
juliana,1,NO
unthinkable,1,NO
summarizes,1,NO
embarrassed,1,NO
station,1,YES
reportedly,1,NO
absolute,1,YES
connections,1,NO
plugged,1,NO
misapplied,1,NO
misinterpreted,1,NO
misadjusted,1,NO
mismatched,1,NO
delayed,1,NO
unreasonable,1,YES
ungrateful,1,NO
unconventional,1,NO
unfamiliar,1,NO
violent,1,YES
negotiation,1,YES
trainees,1,NO
whereas,1,YES
cortisol,1,NO
contradicting,1,NO
conventional,1,YES
nonparents,1,NO
measure,1,YES
workday,1,NO
adjustments,1,NO
bargain,1,YES
sustaining,1,NO
clarity,1,NO
clinically,1,NO
methodically,1,NO
inadequate,1,YES
teenagers,1,NO
removal,1,YES
motivate,1,YES
measurement,1,YES
happiest,1,NO
fathers,1,NO
kicking,1,NO
housewives,1,NO
differs,1,NO
rewarded,1,NO
motivating,1,NO
paradox,1,YES
continued,1,NO
reproduce,1,YES
depressing,1,NO
forthcoming,1,NO
journal,1,NO
outlines,1,NO
unnamed,1,NO
recipients,1,NO
intervention,1,NO
lacking,1,NO
disadvantages,1,NO
ecru1tmg,1,NO
solvable,1,NO
costless,1,NO
generat10n,1,NO
inexperienced,1,NO
ofresources,1,NO
greatly,1,NO
brained,1,NO
parachuted,1,NO
mission,1,YES
objectives,1,NO
coincidence,1,YES
dominated,1,NO
explicitly,1,NO
coaches,1,NO
allegiance,1,NO
religious,1,YES
offline,1,NO
bandwidth,1,NO
boundaries,1,NO
willingly,1,NO
linguist,1,NO
defines,1,NO
strategic,1,NO
onented,1,NO
closely,1,NO
incidents,1,NO
athletic,1,NO
loyalty,1,YES
passionate,1,NO
workaholics,1,NO
triggers,1,NO
mommies,1,NO
praises,1,NO
linguists,1,NO
voluntarily,1,NO
distinction,1,YES
direction,1,YES
departinent,1,NO
purposes,1,NO
exchanges,1,NO
satisfies,1,NO
precondition,1,NO
classification,1,YES
overcome,1,YES
grieving,1,NO
friendship,1,YES
inopportune,1,NO
mourning,1,NO
signaling,1,NO
barriers,1,NO
exaggerating,1,NO
luxuriant,1,NO
weighed,1,NO
poisoning,1,NO
fortunate,1,YES
dearest,1,NO
nearest,1,NO
companionship,1,NO
relatives,1,NO
encouragement,1,YES
objectivity,1,NO
external,1,YES
devalue,1,YES
incapable,1,YES
commute,1,YES
concentration,1,NO
scenery,1,YES
travelled,1,NO
allocate,1,YES
afterwards,1,NO
shorter,1,NO
briefly,1,NO
located,1,NO
inclination,1,NO
polling,1,NO
correlated,1,NO
indicators,1,NO
accounting,1,YES
codified,1,NO
plausible,1,YES
conclusion,1,YES
individualism,1,NO
realism,1,NO
modernism,1,NO
invented,1,NO
unfortunate,1,YES
overtaxed,1,NO
headquartered,1,NO
overstate,1,NO
reputable,1,NO
resumed,1,NO
attribute,1,YES
transfer,1,YES
compare,1,YES
civilized,1,NO
arrives,1,NO
strikes,1,NO
rediscover,1,NO
carnegie,1,NO
beneficial,1,YES
endless,1,NO
letters,1,NO
processes,1,NO
breaking,1,NO
bootcamps,1,NO
victoria,1,NO
instructor,1,NO
turnover,1,YES
logically,1,NO
consultant,1,YES
carolina,1,NO
remodel,1,NO
formulate,1,YES
expenence,1,NO
backgrounds,1,NO
upgraded,1,NO
digitalized,1,NO
programmers,1,NO
persuade,1,YES
frighten,1,NO
misguide,1,NO
estimate,1,YES
chickens,1,NO
grasslands,1,NO
midwestem,1,NO
southwestern,1,NO
occupying,1,NO
historic,1,YES
designate,1,YES
endangered,1,NO
potentially,1,NO
confrontational,1,NO
forging,1,NO
collaborations,1,NO
estimated,1,NO
prosecute,1,NO
unintentionally,1,NO
negotiated,1,NO
destroyed,1,NO
interim,1,NO
populations,1,NO
enviromnentalists,1,NO
extinction,1,NO
biologist,1,NO
drastically,1,NO
grassland,1,NO
insistence,1,NO
governmental,1,NO
unintentional,1,NO
prosecuted,1,NO
monitoringjob,1,NO
mournfully,1,NO
thornier,1,NO
flywheel,1,NO
novelist,1,NO
unication,1,NO
interrupted,1,NO
interruption,1,NO
obtained,1,NO
resource,1,NO
maximised,1,NO
instnunentally,1,NO
depends,1,NO
inefficiency,1,NO
goallessness,1,NO
wasting,1,NO
unstoppable,1,NO
conveyor,1,NO
default,1,NO
surface,1,YES
repetitive,1,NO
metaphor,1,NO
carefree,1,NO
promptly,1,NO
extensively,1,NO
backdrop,1,NO
drastic,1,YES
milestones,1,NO
constitutes,1,NO
aftermath,1,NO
searing,1,NO
signpost,1,NO
securing,1,NO
struggled,1,NO
retirement,1,YES
profitable,1,NO
occupation,1,YES
marital,1,YES
childcare,1,NO
established,1,NO
overthink,1,NO
pleased,1,NO
pursuing,1,NO
therapy,1,YES
effectively,1,NO
grownups,1,NO
dictate,1,NO
behaviours,1,NO
suppressing,1,NO
appropriately,1,NO
christmases,1,NO
youngest,1,NO
stepdaughter,1,NO
superman,1,NO
christmas,1,NO
overjoyed,1,NO
indulge,1,YES
silliness,1,NO
giggling,1,NO
endorphins,1,NO
infection,1,NO
grownup,1,NO
diaries,1,NO
sporting,1,NO
dancing,1,NO
alcohol,1,YES
philosopher,1,YES
striving,1,NO
byproduct,1,YES
contain,1,YES
carries,1,NO
overload,1,NO
rationally,1,NO
selective,1,NO
accumulate,1,YES
contest,1,YES
speculated,1,NO
act1v1sts,1,NO
wealthy,1,YES
mutually,1,NO
purposelessness,1,NO
mortality,1,NO
agonizing,1,NO
dullness,1,NO
overblown,1,NO
degrading,1,NO
lecturer,1,NO
ireland,1,NO
counterbalance,1,NO
reserved,1,NO
boasting,1,NO
denying,1,NO
instability,1,YES
unreliability,1,NO
guideline,1,NO
resolution,1,YES
characterized,1,NO
statistically,1,NO
downsides,1,NO
exclude,1,YES
hardship,1,NO
